character,line
Phil,"Okay. You can do it, d. Okay. He looked like the drummer from Foreigner. Now, Foreigner's from France. France rhymes with ""ants."" Ants ruin a picnic. What's up, Nick? Really? Really? Well, that's great. Yeah, no, swing by anytime. We're here all day. Thanks. Guess what? You said I couldn't sell this? Well, you're gonna be eating humble pie stuffed with crow and a big side of sorry, 'cause I just did. In your face, girl with the negative tattoo! Honey... Wait."
Claire,No!
Luke,Whoa. Someone doesn't like to lose.
Phil,Honey. Honey!
Claire,"I'm sorry. I'm sorry. When I woke up this morning, I hated that car, And even thinking about it made me mad. but then when we were going through it and blankety... all that stuff... I just... The thought of that whole part of our life driving away..."
Phil,We can keep blankety.
Claire,"I don't want... Look at them. Come on. A minute ago, they were babies. And now they're driving. And soon we'll all be dead."
Phil,"Whoa! You're leaving out a few great minutes there. Retirement, old age... Cool chair that goes up the stairs."
Claire,Yeah. I'm sorry. I'm...Being ridiculous.
Phil,Don't apologize. I love you when you're human. Listen. Hey! Listen! We don't have to sell the car.
Claire,"Oh, sweetie, of course we do. It doesn't make any sense to keep it."
Phil,"Well, what can I do to make you feel better?"
Claire,Nothing. Unless you can build me a time machine.
Phil,"Honey... Until someone can figure out how to keep a wormhole from collapsing in on itself, that's just a pipe dream."
Claire,"Sure. Come on back, Phil."
Mitchell,"Well, I found the... I found the nail gun."
Cameron,Oh. Yay.
Mitchell,The weirdest thing... it was wrapped in an old towel Stuffed in a box on the top shelf of the closet.
Cameron,"Well, just set it down on the counter."
Jay,Heads up!
Mitchell,"Oh, dad, what are you doing here?"
Jay,"I'm, uh, just, uh, returning that crockpot that Gloria borrowed."
Cameron,"Oh, yeah, I forgot you had that crockpot, Jay. Well, we're just getting ready to build Lily a princess castle if you... Want to help?"
Jay,"Yeah, sure."
Cameron,"Oh. Well, if it's okay with you, Mitchell."
Mitchell,"Oh, yeah! Oh, no, dad. Oh, remember how much fun we had when we built that bookshelf together?"
Jay,That was my Vietnam. And I was in Vietnam.
Mitchell,"Oh! Look at us! Three construction dudes! Dad, I'm gonna get you some workman. I have a blue and camel. What's your preference?"
Jay,Surprise me.
Manny,You think?
Manny,Okay.
Gloria,Who wants chocolate milk?
Manny,"Sure, mom."
Gloria,So how is it going?
Manny,Great! Kelly's moving her stuff into my notebook.
Gloria,This is sudden.
Gloria,Salt is for the popcorn.
Manny,That sounds good.
Gloria,You wouldn't like it.
Gloria,Okay. Here's the salt. We'll see what he likes.
Manny,"Wow! That's really good! Try it, mom!"
Gloria,I don't care for it.
Gloria,It was delicious.
Cameron,I finally got Lily down for a nap. Where is Mitchell? He's not supposed to be unsupervised!
Jay,Don't worry. I got him in the garage putting flags on the spires.
Cameron,"Okay, perfect."
Jay,It's better that way. Nobody gets hurt. We don't have to put flags on the spires.
Cameron,"yeah. All right, let's get this roof on. It's supposed to snap right into place."
Mitchell,Hey!
Cameron,"Whatcha got going on over there, jigsaw?"
Mitchell,"Well, I thought that I would get started on the, uh, drawbridge while you guys worked on the roof, so..."
Jay,You all done with the flags?!
Mitchell,"yeah! Yeah, it took me like 15 minutes. It was a lot easier than you made it out to be."
Cameron,"Do something, Jay."
Jay,"Uh, Mitch?!"
Mitchell,Yeah.
Jay,How about you make us some sandwiches?
Mitchell,"No. No, we're in the middle of this."
Cameron,"No, I think what Jay's saying is, why don't you go sort some bolts?"
Mitchell,"No, I sorted the bolts."
Cameron,All of 'em?
Mitchell,There were six. W-what's going on with you two? Are you... are you trying to get rid of me?
Jay,"Uh, ... Mitch."
Mitchell,"Oh, my god. You are. You're... you're, like, in cahoots."
Cameron,"Mitchell, I get scared. when you're around tools, honey, it's dangerous... for me, for you, for...Our roses."
Jay,"Works better this way, kid. I mean, castle goes right up, nobody gets sliced in half."
Mitchell,"Do you know how insulting this is? I was... I was an intern at the songbird summer playhouse. Do you think that the town of brigadoon just magically appeared? Well, in the play, it did, but...The set... the set was built with these two hands!"
Cameron,Mitchell. Mitchell...
Mitchell,"The Von Trapp mansion, Evita's balcony... Okay. Okay."
Cameron,"Oh, where are you going?"
Mitchell,"I'm going on a walk, And, oh, yeah, I can still do that by myself. Watch. Oh, I hope I don't get hurt. Oh, god, who put that doorjamb there? I didn't see it. I ran right into it. Oh, no, I tripped! Walking is so hard!"
Cameron,That one didn't look like it was on purpose.
Mitchell,It was!
Phil,Just a few more steps.
Claire,Oh!
Phil,"Oh, sorry! Step! Step! Sorry!"
Claire,Phil?!
Phil,Sorry. It's gonna be worth it.
Haley,"No, it's not."
Phil,Don't listen to her. And...
Claire,Ow. Ow. Ow!
Phil,Sorry. Don't struggle.
Claire,Ohh!
Phil,Stop struggling. Ta-da!
Claire,Great. It's our car.
Phil,Not a car. Kids?
Claire,"""ti..."" what?"
Phil,"Tonight, Claire Dunphy, we are turning back the clock to a simpler time... when families piled into their station wagons, picked up some burgers, and went on a picnic up to granger point."
Claire,"Honey, we don't have to do this."
Alex,Listen to her.
Phil,"No, it's gonna be great. I talked to... France, ants, picnic... Nick, and he's not picking up the car till tomorrow. We have one more night of family fun!"
Luke,What's gonna be fun about it?
Phil,Only everything.
Alex,Only nothing.
Claire,"Okay, kids, you know what? Your father is trying to do something nice, so I would appreciate it if you would stop your whining and just get in the car. Still does it! Oh, my! Come on, get in, get in!"
Phil,Ohhh!
Jay,"I'm just saying, the kid's gotta learn to let things go."
Cameron,"Well, this is a touchy subject for Mitchell. He wants to feel like a regular Joe, like you and I. Oh, pardonnez-moi. I prefer the champagne Dijon to the standard yellow. You know, there are a few areas that define us as men, like sports and construction. Mitchell just wants to feel like he's... Part of the man club."
Jay,Isn't that where you guys met?
Cameron,"I know you're making a joke because you're uncomfortable, So I'll let it slide, and we met at an orgy. Come on."
Jay,"I just think it's crazy, that's all. So what if he can't swing a hammer? Look at all he has done. Law school, great career, providing for his family. That's manly, too, isn't it? I mean, the classical sense."
Cameron,"Well, yes, I mean, I think it also takes a big man to quit his career as a music teacher and raise a child."
Jay,"You're a man, too, Cam."
Cameron,"Thank you, Jay. Wait. Garnish. We're men... not cavemen."
Mitchell,"My great-great-grandfather helped build the Brooklyn bridge. And I heard that, until the day he died, every time he passed it, he was filled with such pride. He'd say, ""there's a little bit of me in that bridge."" I know that I'm not the handiest guy, But I'm still a man, and I want to be able to look out into my yard and say... ""there's a little bit of me in that princess castle."""
Mitchell,"Oh, no. No. No, no, no. No. No. Oh, no."
Manny,"Hey, mom. Kelly's parents are on their way. She invited me to go out to dinner and a movie with them. Is that okay?"
Gloria,"Oh, but... I thought that you and I were going to the movies tonight. You know, to see that movie with Shia Lebeouf."
Manny,"Well, maybe we can go to the movie another night. W- what's wrong?"
Gloria,"Oh, nothing. Just my heart."
Gloria,"Okay, sue me. I am a Colombian mother. I'm not gonna let him make a mistake that is gonna affect him for the rest of my life! His life!"
Gloria,"Manny, I think we should talk about this Kelly girl."
Manny,Isn't she great? I think she really likes me.
Gloria,"Why wouldn't she like you, baby? Of course. go. Have fun."
Manny,I'm gonna wear my burgundy dinner jacket.
Gloria,Of course you are.
Cameron,I say we apologize and just finish the castle together like he wanted.
Jay,Did you hide the nail gun?
Cameron,Absolutely.
Jay,"'cause, I mean, you said that before."
Cameron,"No, I... Oh, my gosh. It's finished."
Jay,What the hell? Mitchell did that?
Mitchell,"Yes. Yes, Mitchell did it. Who's the bitch now, bitches?"
Cameron,"Honey, it looks beautiful!"
Mitchell,"Well, yeah, because when you two were inside enjoying your little tea party, I was out here... out here getting stuff done."
Cameron,I'm sorry. We shouldn't have underestimated you.
Jay,"You know he's stuck in there, right?"
Cameron,"Oh, yeah."
Jay,"Uh, hey, kid, Cam and I are gonna go crack a couple cold ones. You want to join us?"
Mitchell,"No, no, you know what? I'm just gonna stay here and get some stuff done, But you... you two ladies enjoy your light beers."
Jay,How do you know we're having light beers?
Cameron,"We only have light beers. So, well, listen. Here is a hammer."
Mitchell,"I don't need it. I don't need it, though."
Cameron,... and this is a screwdriver...
Mitchell,But I'm not gonna use it.
Cameron,... and you just come on in whenever you want to.
Jay,You sure we shouldn't get him out of there?
Cameron,"No. He would never forgive us. He's a very proud man, your son."
Mitchell,"Bird! Bird! Bird! Ah, oh, my god! Oh, my god!"
Jay,"Yeah, I'm pretty proud of myself right now."
Mitchell,"Ohh! Oh, my god!"
Jay,Calm down.
Claire,"Luke, honey, slow down. No one's gonna take your food away."
Phil,"Wow, this place has really changed. Time marches on, huh?"
Phil,See that Starbucks down there? You know what that used to be?
Alex,An orange grove?
Phil,"No, a burger king. You can still see some of the architecture."
Claire,Thank you... for this. I really do feel better already.
Phil,"You can go home again, Claire."
Claire,"Oh, sweetie."
Luke,Mmm. my stomach hurts.
Claire,"Luke, honey, I told you not to eat so fast."
Luke,Ohh.
Claire,"Just sit back, relax. You're gonna be fine."
Haley,Ew! Spider!
Claire,"Haley! Haley, honey, you're standing on the back of daddy's seatbelt! Haley!"
Phil,"Oh, soft cheeses, I can breathe again."
Luke,Wait. Where'd the spider go? I really need some air.
Claire,"Okay, Alex, lower your window."
Alex,I can't. It's stuck.
Claire,I forgot about that.
Alex,Don't you throw up on me.
Haley,Don't point him at me!
Claire,"Here, I'll turn on the..."
Phil,Haley!!
Claire,Ohh! Oh-ho.
Phil,"Oh! Oh, honey, I think that's the heat."
Luke,It's in my mouth. It's happening!
Claire,"Okay, grab a bag!"
Alex,Aah!
Luke,"Oh, gosh, it smells like onions!"
Alex,My seatbelt's stuck!
Claire,"I'll help you. Oh, my god!"
Alex,Aah!
Luke,Mm.
Haley,Spider!
Phil,Haley!!
Haley,"Oh, god, he's gonna blow, mom!"
Luke,I need buckety!
Claire,"Okay, everybody get out of the car!"
Alex,Our doors don't open!
Phil,"We got ya. Slow is smooth, and smooth is fast!"
Claire,"Get out, get out."
Phil,"Slow is smooth, and smooth is fast, Dunphys! Nice and easy!"
Claire,Don't look at him! He's just gonna make you feel sick!
Phil,"Slow is smooth, and smooth is fast!"
Haley,"Oh, I looked, I looked, I looked."
Claire,"Ohh, god."
Alex,"Guys, the car!"
Claire,Whoa!
Phil,I got it!
Claire,"Oh, my god. Oh, my god... Oh, no. Oh, no. What's the plan, Phil?!"
Phil,At least I'm trying to do something!
Haley,"Dad, get off!"
Claire,"Come on, Phil! Let it go! Let it go!"
Alex,"Oh, my god!"
Claire,"Honey, let it go! Honey! Stop, stop, stop."
Phil,"No... oh, no! That's not..."
Claire,It's all right.
Phil,"I'm just... I'm just being realistic, But we're gonna need to lower the asking price."
Gloria,"Hi, Papi. You're here so soon."
Manny,Yeah. I decided to skip the movie.
Gloria,Are you okay?
Manny,"Yeah. Kelly didn't like my jacket. Plus, she ordered for me."
Gloria,"Mm, did she let you hear the specials, at least?"
Manny,No. I don't want to be with someone who doesn't get me. Do we have any trans fats left?
Gloria,Of course.
Manny,"Besides, I think there's a girl I'd rather spend time with."
Gloria,"Ohh, that's so sweet. I'm the luckiest mother in the world."
Gloria,Who's Alicia?
Manny,"She's a girl in my history class. We like to play ""six degrees of sir Francis bacon."""
Gloria,"You just tossed a woman aside, Immediately you go to the next one?!"
Manny,"No, I just..."
Gloria,"Just... just what?! This is not the way you treat women! Men are all the same. They break women's hearts, and they don't care! Men are all animals!"
Jay,"Hey, honey."
Gloria,Animal!
Phil,"The art of the sale is all about... What you leave out. ""'83 classic wagon."" Tough to find parts. ""they don't make 'em like this anymore."" For legal reasons. ""enjoyed for many years by one happy family."" Boop... of raccoons. I'm kidding. Actually... Actually, it did make us happy for a long time. It's gonna be tough to say goodbye. It always is. Nobody loves change. But... Part of life is learning to let things go."
Luke,I totally thought I was gonna puke on you.
Haley,I would have killed you if you did.
Alex,"Oh, yeah, like you killed that spider?"
Haley,"Oh, you didn't see it. It was huge."
Luke,Remember the look on mom's face when her seat fell down? How about when dad jumped on the hood of the car?
Cameron,Mitch? Lily?
Mitchell,"Hey, we're in here!"
Cameron,Oh! Princess is in her castle! How long have you guys been out here?
Mitchell,"Ohh. Cam, she can't get enough. We've been in here for like two hours."
Cameron,"Oh, wow!"
Mitchell,Yeah.
Cameron,And we did his for her. Mm. Need me to get you out of there?
Mitchell,"This thing is not safe, Cam."
Cameron,Move to the back of the castle.
Mitchell,"Yeah, no. I know the drill. No, don't carry me out this time. I think it sends the wrong message to Lily."
Cameron,"Well, the neighbors enjoy it."
Claire,How come we don't have the same number of containers and lids? Why would they ever get separated?
Phil,"Built-up resentment, money issues, met a younger lid. Huh?"
Claire,Mm-hmm.
Alex,"Mom, where's my science homework?"
Claire,"Uh, it's over there on the table. So, Alex, honey, what's going on? Anything exciting?"
Alex,No.
Claire,Any boys?
Alex,No.
Claire,"I'm feeling a little bit disconnected from Alex right now. Last week, I picked up her cellphone, thinking it was mine, and I accidentally read a few flirty text messages that were probably from a boy in her class, which is fine. Or they're from a drifter."
Claire,"Come on, isn't there something you want to share with your mommers?"
Alex,"Yeah. Don't call yourself ""mommers."""
Phil,He blew his lid when she tried to contain him.
Cameron,Okay. What do you think?
Mitchell,I like it.
Cameron,But you don't love it.
Mitchell,"No, I do. I love it."
Cameron,As much as you loved the other one?
Mitchell,Ooh.
Cameron,Okay. Mm. The house is on fire. I only have time to grab one shirt. Which one do I take?
Mitchell,The correct answer is take Lily.
Cameron,After that.
Mitchell,"Uh, okay, the blue one."
Cameron,Because the gray one washes me out.
Mitchell,"No, no. Cam, you... you can't go wrong here. Everything you've tried on looks great. I love you in both of them."
Cameron,"Oh, you're so nice to me."
Cameron,"Mitchell has a problem with public displays of affection. Um, I remember once at a new year's Eve party, Stroke of midnight, he high-fived me. Two problems with that... One, gays don't high-five. Two, gays don't high-five."
Jay,"I'm home! Mmm, what smells so good?"
Gloria,"I'm making chunchullo, a traditional Colombian dish, for dinner with the family tonight. Chunchullo."
Jay,"What is that... like, uh, tacos?"
Gloria,"Yes, like tacos."
Manny,"No, it isn't. It's the small intestine of a pig."
Jay,"Oh, geez. Why can't we eat regular food like normal people?"
Gloria,"I told you, Jay. My grandmother, who rests in peace, has been coming to me in my dreams, telling me that I'm losing touch with my roots."
Jay,"See, this is awkward, Because my dead uncle Joe told me to have steak tonight."
Gloria,"No, no, no, Jay. Have some respect. My grandmother can hear you."
Manny,"What do you mean, she can hear us?"
Gloria,"Well, in our culture, we believe that the dead are all around us."
Jay,"She's right, Manny. She could be right here, her bony fingers reaching out from the grave."
Gloria,"Yeah, keep it up, Jay. There's already one dead person in this room. You want to make it two?"
Jay,"I'm sorry. I've got a printer to install. Oh, Gloria, have your grandmother run me up an iced tea in about 10 minutes."
Gloria,"Yeah, she has a better chance of making that work than you! Why don't you save us the stomping and the swearing and call Phil? He's good at that stuff."
Jay,"Better than me? Phil's not better than me at anything, Except maybe making that stupid sound with his mouth."
Jay,You spit on me.
Claire,"Haley, honey, um, I need you to do something for me."
Haley,"Ugh. Mom, my arm hurts."
Claire,Why don't you find out what it is before you start making up excuses to get out of it?
Haley,"okay, what is it?"
Claire,I need you to talk to your sister. I think that there's something going on with her and a boy.
Haley,So?
Claire,"So, I am your mother, and it is my job to make sure that you girls don't get involved with a predator."
Haley,"Okay, mom, stop watching ""dateline."" And why can't you just talk to her?"
Claire,I have tried to talk to her. I... she won't talk to me. You know that.
Haley,That's because you get so weird every time a boy comes near us.
Claire,I-I just don't want you girls to...
Haley,To make the same mistakes that you did?
Claire,No! No.
Haley,"Mom, I'm not an idiot. I pick up on things. And I don't think that you were the good girl you pretend you were."
Claire,Wow. That is so untrue. I was a very good girl.
Claire,"Your kids don't need to know who you were before you had them. They need to know who you wish you were, And they need to try to live up to that person. They're gonna fall short, But better they fall short of the fake you than the real you."
Phil,Which is why we don't hide anything.
Claire,That's the opposite of what I just said.
Phil,I was not listening.
Mitchell,Ohh. I'll say it again... I love you in Paisley.
Cameron,"Oh, let me lock the door and draw the curtains."
Mitchell,What does that mean?
Cameron,"It doesn't mean anything. Good. You know exactly what it means. You won't kiss me in front of other people because you're ashamed of who you are. And, yes...I went there."
Mitchell,"Okay, you can't say, ""yes, I went there,"" When you go there all the time. And, by the way, I'm the one who makes speeches on airplanes every time someone looks at us weird. I'm the one who gives my dad hell when he refers to you as my ""friend."""
Cameron,That's different. That's confrontation. But you know what takes real strength?
Mitchell,Whining?
Cameron,Affection.
Mitchell,"Oh, this is insane. Buying a shirt... it's not a kiss-worthy moment."
Cameron,"Oh, I didn't know there was an official list. Please, tell us... what is on the list?"
Mitchell,"I'll tell you what's not on the list... Finding jalapeño- stuffed olives, making the light on maple, every time we see a v.W."
Cameron,"You don't like ""kiss-buggy""?"
Mitchell,It's not a real game! It... it's just another way for you to be needy. I... and I don't appreciate you making me feel bad because I can't live up to your impossible standards. Nobody kisses at a bowling alley!
Cameron,I almost got a turkey!
Phil,"""yello""? Oh, hey, jay. Just a sec. I'll go get Claire."
Jay,"Oh, actually, it's you I'm calling. What was that?"
Phil,The cat. There's a cat. What's up?
Jay,"Well, Gloria's been missing her grandmother. I've been trying to get this old picture of her printed, But I can't get this new printer to..."
Phil,"I'll be right there. Luke, grandpa needs us!"
Phil,"Hells yes, I was glad to get the call. Jay's always around here fixing things, Cracking jokes about my ""delicate hands"" or my gag response to the smell of paint. Look who needs me now... Mr. Hot- dog fingers who can't press ""print"" Without hitting three extra keys. Yeah! You're in my house now, Jay! T-technically, we'll be in his house, But we'll be in my area... of his house."
Haley,"So, I hear you have a boyfriend."
Alex,"No, I don't."
Haley,Who is he?
Alex,I'm not talking to you about this.
Haley,"Oh, come on. You're finally interesting. Just tell me."
Alex,He's not my boyfriend. It's Jeremy Reed. It's... he's just this boy that I...
Haley,Love?
Alex,No!
Haley,"Well, have you guys kissed yet?"
Alex,No!
Haley,"Well, what are you waiting for?"
Alex,I'm not waiting. I'm 13.
Haley,And you've never kiss a boy?
Alex,How old were you?
Haley,Like 11. And it was beautiful. I was in Jackson Kaner's carpeted garage.
Alex,11?
Haley,"Yeah. So you better get on it, or else he's gonna think you're a lesbian."
Alex,He's not going to think I'm a lesbian.
Haley,I thought you were. You totally have the sandals for it.
Phil,"Let's see this bad boy. Oh, a p-750. Nice unit. I would have sprung for the 840, But I get it... Not everyone can handle that kind of horsepower."
Jay,"I thought maybe the cordless phone was interfering, So I unplugged it."
Phil,Good idea. Maybe we should run downstairs and unplug the toaster while we're at it.
Luke,"oh, snap, dad. Toaster."
Phil,"We're kidding. A cordless phone is 5.8 gigahertz. This is wi- fi. It's a totally different spectrum. Walk with me? Here's a little trick that I've found pretty useful with Claire. * the computer and the printer must talk, talk, talk * ""command-p"" makes the picture walk, walk, walk *"
Luke,How come it's not working?
Phil,"It should be. Okay. Uh, that should be printing. So..."
Jay,"Hey, Phil, I'm gonna get a beer, beer, beer before I hit you in the head, head, head."
Alex,"Hi, Jeremy. I want to ask you something."
Alex,"wait, don't talk yet. We've texting for a while, and it's been nice, But I feel like it's leading to something else, And I don't know if you do or not, but I guess what I'm trying to say is, I'm just a girl standing in front of a boy asking for him to like her. Oh, god, that's from ""Notting hill."" So dorky. but a really underrated movie."
Alex,I'm not a lesbian. I would like for you to kiss me.
Jay,"Oh, I love watching you stir."
Gloria,Then I will stop.
Jay,What? Are you still mad at me?
Gloria,"Yes. You have to apologize for making fun of my culture, my beliefs, my chunchullo, my abuela."
Jay,"I'm sorry. If you think your grandmother's here with us, I respect that. Now, come here. Oh, grandma! Where'd you come from? We're gonna have to get you a little bell."
Gloria,"Enough, Jay! My culture is very important to me! I've been working all day to share it with your family tonight, and all you do is mock me! Just go!"
Jay,"Honey, I'm sorry. I'm just teasing you."
Gloria,"Instead of being the comedian, why don't you help me?"
Jay,What do you need?
Gloria,Slap the chicken.
Jay,Do what?
Gloria,"In Colombia, when you cook in honor of the departed, You have to scare death away from the food to protect the people that are gonna eat it. Slap it and yell."
Jay,That's the nuttiest...
Gloria,Jay!
Jay,Calm down. Give me the chicken. Here we go.
Gloria,"Mm-hmm. That's not scaring anything away. When my grand-mother used to cook, The whole house would she."
Jay,Aah! Aah! Aah!
Gloria,Louder.
Jay,Aah!
Gloria,Higher. Louder! Higher! Louder! There!
Gloria,"I made all that up. That is not a real custom in Colombia. We're not lunatics. but you mess with us, and we mess with you. That's the custom."
Gloria,Louder!
Claire,"Hey, honey. Where'd you go?"
Alex,Nowhere. Just for a bike ride.
Haley,"Oh, my god! Puh-lease tell me this text is wrong! Did you really just go over to that kid's house and try and kiss him in front of a million people?!"
Claire,"Alex, did you do that?"
Alex,You got a text?
Haley,"Oh, yeah. Everybody knows. Do you know how embarrassing this is for me?"
Alex,This is all your fault! You're the one who said I had to kiss him or I was a lesbian!
Claire,Haley! Did you say that to her?!
Haley,"Oh, don't turn this on me. Look at her shoes!"
Alex,Ugh! I'm never going back to school now.
Claire,"No, sweetheart. Yes, you are. You are going back to school. But listen to me... Just because a boy sends you flirty texts doesn't mean that you have to text him back..."
Alex,what?! You read my texts?!
Claire,I...
Haley,You read her texts?! That's why you made me talk to her?!
Alex,You made her talk to me?!
Claire,"I kind of feel like we're spinning out here a little bit. Look, Alex, the important thing here is that you have to be very careful how you behave around boys because it is so easy to get a reputation."
Alex,"Well, I'm sorry I'm not a perfect little good girl like you were!"
Haley,Were you?
Claire,Ohh.
Haley,Were you?! I highly doubt it!
Luke,"Don't be such a chicken, there's no ghost in here."
Manny,"I'm telling you, my mom said her dead grander was in the house. She said she felt her here this morning... in this room."
Luke,Maybe your mom's mentally ill.
Phil,who puts a router... in the attic?
Luke,Did she have a limp and a cane?
Manny,Uh-huh.
Luke,"Ghost of Manny's great-grandma, If that's really you, show yourself!"
Manny,That's her!
Luke,Aah!
Phil,Come on! Why?! Why?!!
Haley,"Hi, grandpa."
Jay,"How we doing, girls?"
Alex,Mom ruined my life today.
Claire,I didn't ruin your life. I was....
Alex,Don't even talk to me! I didn't even want to come here.
Jay,"Well, okay. Snacks and sodas are in the living room, but don't fill up... we've got intestines coming."
Claire,"Uh, dad, if you're looking for your shoes, I think I know where they are."
Jay,"This happens to be a Colombian custom... walking in the footsteps of the ancestors, blah, blah, blah. Beats slapping the chicken."
Cameron,"Here, I brought you a drink."
Mitchell,"Oh, wait a minute... sip it first."
Cameron,"I'm not mad at you. I thought about it, and maybe you're right. I can be a little needy sometimes."
Mitchell,"Oh, well, I-I appreciate that. And you're probably not entirely off base. I mean, lord knows I-I've got my quirks. And I- I'm not the most demonstrative guy around, But I'm... I'm working on it."
Cameron,And I'm gonna help you with it.
Mitchell,Good. Just don't give up on me.
Cameron,Never.
Gloria,"Okay, everybody, let's gather around! Jay, come here. Tonight we dine on the traditional Colombian recipes of my abuela, my grandmother. And even though she's no longer with me, I am very happy because I have all of you. To Ana-Maria Rosa de la Immaculada Jimenez Morales."
Cameron,"That was beautiful, Gloria, just like my Mitchell."
Mitchell,Just slipped right off there.
Gloria,"Ay, Cameron, what happened? One moment you were there, the next, only shoes."
Cameron,I'll tell you what happened... Mitchell is embarrassed to kiss me in front of other people.
Mitchell,"No, you ambushed me!"
Claire,"Oh, Cam, come on. Don't take it personally. When Mitchell was in high school, He was dating this girl... Robin Schier. He would never kiss her, either."
Mitchell,That's because I was gay.
Cameron,What's your excuse now?
Gloria,"Ay, Cameron, it's not Mitch's fault. He gets it from his father. Jay doesn't like the lovey-dovey in public, either."
Jay,"I can't believe you're coming at me right now. I'm standing here with shoes around my neck, And for the better part of a half- hour, I screamed the death out of your meat. Now, what do you want from me?"
