character,line
Mitchell,Oh!
Cameron,We would like to pay for everyone's headsets.
Phil,"Buddy, why do you keep getting stuck like this?"
Luke,I thought I could get out this time.
Alex,I'm just gonna say it... he needs to be checked by a specialist.
Phil,"There! Be free, Excalibur!"
Haley,I'm having a friend over today.
Claire,Who?
Haley,You don't know him.
Claire,Him... Him?
Luke,"Oh, a boy! You gonna kiss him?"
Haley,Shut up!
Phil,Easy. Easy.
Alex,You don't even...
Claire,"Luke, Alex, why don't you take it outside, okay?"
Alex,And do what?
Phil,"Fighting a son, it would be a nice change. I'm kidding!"
Claire,Haley! Who's the boy?
Haley,"His name is Dylan ... You know, I might as well just tell him not to come, because you guys are just going to embarrass me again."
Claire,"Honey! Hang on a second, you're fifteen, it's the first time you've had a boy over. I mean I'm bound to be a little surprised, but... We're not gonna embarrass you!"
Phil,I'm better go charge the camcorder. I'm kidding! Come on! Who are you talking to?
Phil,"I'm a cool dad. That's... that's my thang. I'm hype, I surf the web, I text. LOL, Laugh Out Loud, OMG, Oh My God, WTF, Why The Face. You know, I know all the dances to High School Musical, so..."
Alex,MOM! DAD!
Claire,What happened?
Alex,Luke just shot me!
Luke,I didn't mean to!
Claire,Are you okay?
Alex,"No, the little bitch shot me!"
Claire,Language!
Luke,They're only plastic bb's! It was an accident!
Claire,What did I tell you what happened if you got him a gun? Deal with this!
Phil,Buddy... Uncool.
Claire,"That's it? No, no, no, the agreement was that, if he shoots someone ... you shoot him."
Phil,We were serious about that?
Claire,"Yes, we were and now you have to follow through."
Luke,I'm so sorry!
Claire,Liar. Go!
Phil,But he's got a birthday party.
Alex,What's more important here dad?
Claire,"You can shoot him afterwards, he'll be home at two."
Phil,"I can't shoot him at two, showing a house at two."
Alex,What about three?
Claire,"No, he's at a soccer game at three, and then... Oh, we gotta"
Phil,"Yeah, I guess that works for me."
Claire,"""Shoot Luke"""
Phil,"Sorry dude, it's on the calendar"
Luke,"Oh, come on!"
Manny,"I'm quitting soccer, it is a game for children."
Gloria,"No, you're not quitting. You would have stopped that goal if you weren't staring at that little girl."
Manny,"She is not a girl, She is a woman."
Jay,"You know Gloria, that blowup with that other mom, why do you have to do things like that?"
Gloria,"If someone says something about my family, I'm going to..."
Jay,"I'm just ... saying you could take it down here a little bit, that's all."
Gloria,"Well yeah, coz' that's when you live down here ... but I live up here!"
Jay,"You don't have to be so emotional all the time, that's all I'm saying! Manny, you're with me on this, right?"
Manny,I wanna tell Brenda Feldman I love her.
Jay,"Oh, for God's sake."
Gloria,"Honey, she's 16."
Manny,"Oh, it's okay for you to take an older lover?"
Jay,Hey! Watch it!
Manny,"I want to go to the mall where she works. But first we need to get my white shirt, the silk one."
Gloria,"Okay, if that's what you really want to do."
Jay,"Seriously, not to be the evil stepdad, but if you put on a puffy white shirt and declare your love for a 16 year old, you're gonna be swinging from the flagpole in your puffy white underpants!"
Manny,Stop the car!
Gloria,Where are you going? You see? You hurt his feelings.
Jay,"Well, if it toughens him up a little bit, then ... oh, jeez, he's picking flowers!"
Gloria,"Manny is very passionate, just like his father. My first husband is very handsome but, too crazy. It seemed like all what we did was, fight and make love, fight and make love, fight and make love. One time, I'm not kidding you, we fell out the window together."
Jay,Which one were you doing? I'm hearing this for the first time!
Mitchell,"This doesn't worry you? She barely slept in the plane, and she's still wide awake."
Cameron,"Oh, stop worrying!"
Mitchell,"But Cam, That orphanage, it was all women. Maybe she can't fall asleep unless she feels a woman's shape."
Cameron,I guess that's possible.
Mitchell,"So, here."
Cameron,What the hell is that suppose to mean?
Cameron,"Yes, I've gained a few extra pounds while we were expecting the baby... which has been very difficult. But, apparently you're body does a nesting, very maternal, primal... thing, were it retains nutrients. Some sort of molecular physiology thing. But that's science, you can't, you can't fight it, so..."
Mitchell,I'm not saying anything.
Cameron,You're saying everything.
Mitchell,"Count to three, one, t..."
Cameron,Three!
Mitchell,Okay. Oh Cam!
Cameron,"Oh My God, do you love it?"
Mitchell,"Yes, I... What the hell is that?"
Cameron,I had Andre do it when we we're gone.
Mitchell,Is that us? With wings?
Cameron,"We're floating above her, always there to protect her."
Mitchell,"Well, that's reassuring, right Lily? Yeah, we tore you away from everything you know but don't worry, things are normal here. You're fathers are floating fairies! Can you call Andre? Have him paint something a little less... gay? By the way, We need to stop having friends with names like Andre."
Cameron,Redheaded dad is angry daddy.
Mitchell,No I'm not.
Cameron,"Yes, you are. Even Pepper pointed it out on the way home from the airport."
Mitchell,"Okay, that's another one, Pepper!"
Cameron,"Okay, what's up?"
Mitchell,"Alright, look... I ... I never told my family we were adopting a baby."
Cameron,I know.
Mitchell,You do?
Cameron,"Ya, And I don't blame you, I know your family. You tell them, they say something judgmentally."
Mitchell,Exactly!
Cameron,You get mad.
Mitchell,"I know, and what's supposed to be nothing, but joyful suddenly turns into this huge fight."
Cameron,And who wants a big emotional scene like that?
Mitchell,"Thank you, I'm so relieved you understand."
Cameron,I invited them over for dinner tonight.
Mitchell,What?
Cameron,I had to! This would have gone on forever. You're an avoider.
Mitchell,"No, no! Cam, I'm calling them now, I'm canceling."
Cameron,"No, you're not! You're telling your family you've adopted a baby, tonight. And you do have avoiding issues! Even Angelo said so."
Mitchell,Are you really not hearing these things?
Haley,"Don't answer it, I'll get it!"
Claire,"Hi! Hey, you must be Dylan."
Phil,"Hey, Dylan, yeah."
Claire,: I'm Haley's mother.
Haley,"Hey, come on, let's go."
Claire,Hang on one second. Dylan... You're still in High School?
Claire,"Phil, sweetie, honey. He is Dylan and he is a Senior."
Phil,"Let me meet this playa. Phil Dunphy, jo!"
Phil,"It's like that, you just start down on him and let the eyes do"
Haley,"Okay, I've seen two guys"
Phil,"Wait You two ... two keep it real? You know what I mean, son?"
Haley,Please stop.
Phil,"That's cool! Oh, God, That's my back!"
Claire,Sweetheart.
Phil,"Oh, oh, I slipped in the baby oil."
Phil,"Ooh, where you from originally? I could defeat you if it came to a physical confrontation."
Claire,"I don't know about this, shall I call a doctor?"
Phil,"No, no, no. You're very strong homs'"
Phil,"Okay, nice, nice soft landing. Okay, I am on my side though, so flip me right back and we're good. We'll be good. Just need to get flipped right on my back, and we should be fine, so."
Manny,Brenda Feldman.
Gloria,What is that?
Manny,A poem I’ve written for Brenda Feldman.
Jay,Of course that is.
Manny,"I put my thoughts into words, and now my words into action!"
Jay,"Ey, I give you 50 bucks not to do this."
Manny,"I'm eleven years old, what am I gonna do with money?"
Jay,What are you gonna do with a sixteen year old?
Gloria,It's like a bullfight!
Jay,Ever seen a bullfight? I can't watch this.
Gloria,"You're in such a bad mood. And I know why, It's because that man thought you were my father."
Jay,No.
Gloria,Yes.
Jay,No.
Gloria,"When you say no like that, it's always yes. Come on, we're in the mall, let's get you like some younger clothes ... there's a store there that I know..."
Jay,I don't need any younger clothes! And I don't care what some jackass in a pair of ripped jeans thinks about me.
Gloria,"Good, you shouldn't. You should only care what I think. I love you, and I don't care how old you are. So stop being an gloomygoos, and stop being so hard on Manny."
Jay,The only reason I'm hard on Manny is just because I don't wanna see him make a fool of himself. And I can smell that hair goo of his from here!
Gloria,"Look, I don't know what's gonna happen to him over there but you're his family now. And that means only one thing. You be there winning his back, not to spit in his face!"
Jay,What?
Gloria,"Something my mom always says, it's gorgeous in Spanish. Look, he's there."
Manny,She has a boyfriend.
Gloria,"OHH, I'm sorry, mi nino."
Manny,"I gave her my heart. She gave me a picture of me as an old time sheriff. That was pretty stupid of me, wasn't it?"
Gloria,"No mi amore, It was brave, right Jay? Brave."
Jay,I.. b... you'll know better next time. Come on! Let's get a pretzel.
Haley,"Alex, get out! MOM!"
Claire,"Alex, leave your sister alone!"
Alex,"I was just getting my book, gosh!"
Claire,"I know sweetie, but you need to respect her privacy. What are they doing up there?"
Alex,"Nothing, lying in her bed, watching a movie."
Claire,"Okay... Okay... I'm making a cake for tonight, you wanna help me with the frosting?"
Alex,"Sure. So, you know if Haley got pregnant, would you ever pretend she has mono for a few months and then like tell everyone the baby's yours?"
Claire,What?
Alex,"That senior at school was out sick for like four months, but Terna Wristniks says she was out breastfeeding in a cleanup carwash."
Phil,"Buddy, what are you wearing?"
Luke,Nothing.
Phil,"No jacket, one hat. How many pairs of underwear do you have on?"
Luke,One ... Six.
Alex,"First of all, it would be really cool to see Haley that fat, and how awesome would it be to have a fake little brother who's really my nephew."
Claire,Haley is not getting pregnant!
Alex,I'm just saying if.
Claire,"I know, and I know you like to make trouble for your sister but it's not gonna work this time. You know why? 'Cause your sister is a good girl. I know, I was just like her when I was..."
Phil,"I want you to know, I'm not enjoying this. This is an important lesson that you're leaning, so. It's all good, keep it..."
Luke,"You're to close, it's gonna hurt."
Phil,It's supposed to hurt!
Luke,And why are you smiling?
Phil,"I'm... What? Oh, forget it. I can't do this. The point is, you're scared. I think you've learned your lesson."
Luke,Awww!
Haley,Mom?! What are you doing?
Claire,"Hey, I was just dropping off some laundry, This is a bad time?"
Haley,Yeah...
Claire,"Oh, okay."
Haley,Can you shut the door please?
Claire,Actually we're just gonna go ahead and leave that open.
Haley,Why?
Claire,"Because I have seen this little show before : Lying on the bed with a tall, senior. one minute you're just friends, watching Falcon Crest, and the next you're lying underneath the air-hockey table with your bra un-pocket!"
Haley,Mom!
Luke,You hit my bone!
Phil,It was an accident!
Luke,I thought we were friends!
Phil,I am your friend!
Haley,"Dad?! Dad, you have got to talk to mom, she is like completely freaking out and embarrassing me."
Phil,"Well, honey, you're mom isn't always as cool about things as I... What is with this thing!"
Mitchell,"My dad, ehm, my dad isn't completely comfortable with this, ehm, he still does this thing. It's been five years now. And he still does this thing where he announces himself before walking into any room were in. Just to make sure he doesn't have to ever see us kiss."
Cameron,Wish my mother had that system. Remember?
Mitchell,Not now.
Mitchell,I still can't believe you did this to me!
Cameron,Would you get in the spirit of things! It's a celebration!
Mitchell,Oh God.
Cameron,"Okay, I'm gonna go get Lily ready, and I want you to just come straight out with it,"
Mitchell,Alright.
Cameron,"You can do this! Sportsguy-chest-bump,"
Mitchell,No.
Cameron,Sportsguy-chest-bump!
Mitchell,"Cam. Do it, GO!"
Mitchell,"Heey, how are you? Hi guys! Well thank you, thanks."
Claire,"Oh Don't thank us open it, dad is coming right behind."
Jay,"Knock, knock, we're here! Coming in!"
Mitchell,"Don't worry dad, nothing gay going on here. May I take you're multicolored coat and you're bejeweled cap?"
Jay,Yeah.
Phil,Hey Jay.
Claire,"Gloria, hi! How are you?"
Phil,"Hi Gloria, how are you? What a beautiful dress!"
Gloria,"Thank you, Phil! Oh, Okay."
Claire,"Phil! She said Phil, not feel!"
Jay,So how was you're trip?
Mitchell,"It was good, it was good actually but...about that I have something that I need to tell you guys. We didn't just go to Vietnam for pleasure. We, kinda have some big news."
Jay,"Oh, God, if Cam comes out here with boobs, I'm leaving!"
Claire,Dad!
Haley,"I hope he didn't embarrass you, mom."
Claire,"Don't mind her, Haley had her first boy over today, and Phil shot him."
Mitchell,"Anyway, so about a year ago. Cam and I sort of feeling this longing for something more...like, maybe a baby."
Jay,"Woooh, that's a bad idea."
Mitchell,"What do you mean, bad idea?"
Jay,"Well, kids need a mother! I mean, if you two guys are bored, get a dog!"
Mitchell,"We're not bored, dad!"
Gloria,"I support you Mitchell, and though you're not my son"
Claire,"I, I think what dad is trying to say is that, Mitchell you're a little uptight, kids bring chaos and you don't handle well."
Mitchell,"Oh, That's not what dad is saying . That's what you're saying. And it's insulting in an whole different way."
Phil,"Okay, people, let's all chillax!"
Alex,Hey! Where's uncle Cameron?
Mitchell,"Finally, thank you, someone who's not insulting me, notices he's not here."
Jay,"Oh! So, that's the big announcement. You two broke up. Well a baby wasn't gonna help that anyway! And you know? Let me tell you, your'll be better of, because he was a bit of a drama queen."
Mitchell,"No, no, no! Stop, stop! You come into my house and you insult me and my boyfriend who by the way is not that dramatic! We've adopted a baby. Her name is Lily."
Cameron,Exciting!
Mitchell,Just turn it off.
Cameron,"I can't turn it off, it's who I am!"
Mitchell,The music!
Cameron,"Oh, yes, the music. Come, say hello Lily."
Haley,"Oh, she's so cute!"
Phil,Let me see her. Hi Lily. Lily? Isn't that gonna be hard for her to say? No?
Jay,"Excuse me... Okay, I, I know that I said I thought this was a bad idea. But... What do I know? I mean, It's not like I wrote the book on fatherhood. I've been trying all my life to get it right, i'm still screwing up. Right, Manny?"
Manny,I wrote a song about it in the car.
Jay,"Of course you did. Anyway, I'm happy for you! And you should know that... I'm not here to spit in your face, I'm here to blow at your back. It's supposed to sound better in Spanish. Anyhow, Mitch..."
Mitchell,"No, dad, it's... I got it, I got it."
Claire,She want's her daddy.
Mitchell,Do you wanna meet grandpa?
Jay,"You're kidding? She's one of us now, Let me see that little pot sticker! Hey, you're a cutie, aren't you!"
Jay,"We're from different worlds. Yet we somehow fit together. Love is what's binds us. Through fair, or stormy weather. I stand before you now with only one agenda To let you know my heart is yours. Feldman, coma, Brenda I mean seriously!"
Phil,"Luke, so far, he hasn't beaten me at basketball."
Phil,It's 2-0. Get that! Will you step out of my kitchen! Could you just do me a favor and just grab... How's the weather down there?
Phil,"But, when the day comes that he does win, if, you know, if when...he beats me. I'm just gonna be like, ""well done! Well done!"" Just let him, just support him. In that kind of stuff. I'm probably just wanna go like, 2 out of 3, and just see what happens there, but..."
Jay,"What's the key to being a great dad?""That's a tough one."
Cameron,Giving them the freedom to be whatever they want to be.
Mitchell,"Exactly, and..."
Cameron,"Whether that's a painter, a poet,a pilot, a president..."
Mitchell,"And for us, what we're gonna..."
Cameron,.... of a company or of a country.
Mitchell,Patience.
Phil,"Well, be their buddy."
Claire,That's your answer?
Phil,And stay in school.And don't do drugs. Just give me the answer.
Claire,"Oh, God."
Jay,Still thinking.
Claire,"This is my husband, Phil.And that's my son, Luke,right there.This is..."
Claire,"Desiree, right. Sorry. Desiree just moved in down the block."
Phil,Fun. Where?
Phil,The two-bedroom cottage with the indoor/outdoor family room.
Phil,Bet you're loving that steam shower.
Claire,That's creepy.
Phil,"Oh, sorry. I'm a real-estate mogul. What?! No, I am a real- estate agent. We caravanned that house.Great deck."
Phil,"Now, who is conuts enough to divorce you?"
Claire,"We got to go, but we'll see you around."
Phil,We'll have to have you over sometime.
Phil,She's awesome.
Claire,We are never having her over.I heard she already slept with two dads from the school.
Phil,What? That's... horrible.
Luke,Dad! Watch out.
Phil,"Watch it, buddy."
Luke,Grandma.
Phil,I'm sorry. That still looks like a girl's bike.
Claire,We'll add more black tape.
Phil,My son has been riding his sister's old bike.
Claire,Until he's responsible enough to take care of his own bike.He spilled a soda on my computer.He ruined our digital camera taking pictures of himself underwater.
Phil,"It's a girl's bike. I'm all for teaching him a lesson,but I worry about the ridicule he might get from some loudmouth bully."
Jay,"Nice bike, Sally."
Claire,Dad!
Jay,He looks like Little Bo Peep.
Phil,"Actually, not for long.He's getting a new bike this afternoon"
Luke,I am?
Claire,He is ?
Phil,Sometimes a man's gotta put his foot down and do what a man's gotta do.And if the old lady don't like it... Honey?... that's too damn bad.
Mitchell,"Yes! Who's excited, huh? Cam, hurry up. We're gonna be late."
Mitchell,"We're gonna be judged as the only gay parents. I don't want to be late, too.Paisley and pink. Was there something wrong with the fishnet tank top?"
Mitchell,"Just chill, please. I'm sorry. I just want to make a good first impression."
Mitchell,"Today is about Lily, all right? Her future best friend might be in that class, and I don't want to rub anyone the wrong way.Can you please just... change your shirt?"
Jay,"I called that place in Napa and got us upgraded to a villa with a hot tub, so pack whatever you wear in a hot tub."
Gloria,I usually wear nothing when I'm in a hot tub.
Jay,And my college roommate's wife just had to get a new hip. Sucker.
Gloria,"Manny's father is taking him for a couple of days to Disneyland, so we're gonna go...to the wine country! We're gonna drink some wine, eat some good food."
Jay,We would do something like this a lot more often if it wasn't for Manny.
Gloria,It's good.He keeps us grounded.
Jay,Like fog at airport.
Jay,"Limo gets here at 4:00. I thought I'd go to the club, hit a few balls."
Gloria,What about the fan in Manny's room?
Jay,Call a guy.
Gloria,"No! You're supposed to do it with him. It's important that we teach him how to do things for himself. In my culture, men take great pride in doing physical labor."
Jay,That's why I hire people from your culture.
Gloria,You're too funny! I'll share that one with my next husband when we're spending all your money.
Luke,"Dad, this is the coolest bike ever."
Phil,"Awesome. So, listen, buddy. Certains members of this family don't think you can take care of this bad boy."
Luke,You mean mom?
Phil,"Your words, not mine.Look, your mom and I are a team, and she... we feel like this is a chance for you to show some responsibility. Don't make us look like jerks here."
Luke,I won't.
Phil,One more rule.
Luke,What?
Phil,"Have, like, three buttloads of fun."
Luke,"Thanks, Dad."
Jay,"So, let's do this."
Manny,"Okay, but I need to be done by 3:00.That's when my dad's picking me up."
Jay,"If we're not done by 3:00, I'm gonna tie a noose on this thing."
Gloria,"In Colombia, there's a saying.If you have two stubborn burros that don't like each other, you tie them to the same cart.The ceiling fan is the cart."
Manny,"My dad's taking me on Space Mountain.It's supposed to be really fast, but he's not scared of anything.He doesn't even wear a seat belt when he drives."
Jay,How about that?
Manny,He killed a bear once.
Jay,Was the bear in the passenger seat? Read me the instructions.
Manny,"""Safety tips. Warning. To avoid electrical shock..."""
Jay,We can skip that.
Manny,"""Failure to heed these warnings can lead to serious injury or death..."""
Jay,You worry too much. You know that. Nobody's gonna get shocked.
Manny,"One time, my dad was struck by lightning. That's why he can drink as much as he wants."
Jay,"Manny thinks his dad is like Superman. The truth? He's a total flake. In fact, the only way he's like Superman is that they both landed in this country illegally."
Mitchell,I'm so nervous.
Mitchell,"Or a slightly toned-down version of ourselves. I just don't want this to become an episode of ""The Cam Show."""
Mitchell,"Yes, I do watch it."
Mitchell,"Yes, I'm Mitchell, this is Cameron,and this here is Lily."
Phil,"10 minutes after making a promise to me, he leaves his bike unlocked. All I can hear is Claire's voice in my head. ""He's not responsible. You never should have given him a bike."" I know. I do a pretty good Claire. So I decided to teach him a lesson and let him think his bike was stolen. I know that sounds kind of rough, but sometimes it's a dad's job to be the tough guy. Excuse me. Thank you. On your left.My left, your right."
Mitchell,"I'm Mitchell, and I am a lawyer."
Cameron,"I'm Cameron, and I'm currently not working, which gives me more time to grill and shoot baskets,and..."
Mitchell,And this is Lily.
Mitchell,"Oh, thank you."
Mitchell,8.
Mitchell,"Yes, absolutely. I mean, when she's not grabbing, she is scootin'."
Mitchell,"Cam, Lily is not grabbing or scooting yet."
Mitchell,"No, a lot of these other kids,they're... they're grabbing. Here, Lily, look at the block. Grab the block, Lily. Grab the ""H."""
Mitchell,No slapping your own butt.
Mitchell,That was very good.
Phil,I do it all the time.Don't be embarrassed.
Phil,"Sure. Of course. You know what they say. Every time God closes a door, he opens a window. Or I guess in this case, every time he locks you out. Okay, what do we got here?"
Phil,Am I attracted to her? Yes. Would I ever act on it? No. No way. Not while my wife is still alive.
Phil,"I'm fine, really."
Phil,"Are you kidding me? It smelled great in there,like lotions and oils. For... dry skin and, you know, calloused hands."
Phil,The bike's gone.
Phil,That's all right. Thank you.
Phil,"So, to teach him a lesson, I took his bike, and then... crazy thing... I put it down for one minute, and someone swiped it from me."
Phil,"Zinger! So, any chance I could get a break on this one?"
Phil,Deal.
Phil,"No, sir."
Phil,"Got me again. Well played, milord. I will take some insurance. Thank you."
Gloria,What's going on in there?
Manny,That's not step 4.
Jay,Don't worry about it.
Manny,"Well, it says right here that..."
Jay,That's worrying about it.
Gloria,I thought you guys might need a drink.
Jay,You have no idea.
Gloria,"Manny, mi amor, I have to go get some stuff for our trip. Ay, but have some fun with your father, okay? And I'll see you Monday.Makes me so happy to see my two boys working together."
Manny,Jay shocked himself twice.
Jay,"Okay, Manny."
Manny,"Well, I warned him."
Jay,"Yep, he's been a big help."
Gloria,Look at you two with your private jokes already. You're a regular Salazar and El Oso.
Gloria,"It's a very big comedy team in Colombia. El Oso is always hitting Salazar in the head with the ladder and things, and sometimes they wear dresses. They make you laugh, but they also make you think."
Phil,"""You blew it. You made me look bad."" No, ""you made your mother and I look bad. We are a team.""Luke, you in there?"
Luke,"Hey, Dad."
Phil,"Hey, buddy.That was pretty fun today, huh, gettin' a new bike?"
Luke,"Yeah, it was awesome."
Phil,"So, what happened after I took off? Anything you want to share with me?"
Luke,Not really.
Phil,"So if I went out to the garage to take a picture for the scrapbook,there'd be no surprises?"
Luke,I'm so sorry.I didn't mean it. I just made a mistake.
Phil,"Yeah, a big mistake! You're making me look really bad here.I told mom you were ready for this."
Luke,It's just a scratch.
Phil,"That's not the point, Luke... What?"
Luke,I scratched it on my way into the driveway. I'm sorry.
Phil,So... it's not stolen?
Luke,No. Why?
Phil,"That's good, 'cause...There are bad people out there who would steal a bike. Thieves.You think about the scratch part.That's not good, either.Gonna fix that step. Don't scratch anything while I'm gone. Unless it itches, that's different."
Phil,"The good news is, Luke has his bike. More good news...I taught some random kid a valuable lesson by stealing his bike. Best news...Claire knows nothing.So,I figure I'll just dump the new bike where I stole the first bike.That way, random kid gets his back, and this new bike doesn't raise a lot of embarrassing questions,like why I had it or who boosted who through a bedroom window. So, everybody's happy."
Jay,"Oh, son of a...You gave me the wrong screwdriver."
Manny,Maybe you're just using it wrong. My dad's great with tools. He can get the wheels off a car in a minute.
Jay,Just get me to wine country. Just get me to wine...Sorry.
Manny,I think my arm is broken.
Jay,Relax. It's not broken.
Manny,How do you know? You don't know anything! You have no concern for safety.
Jay,Because it didn't hit you that hard.
Manny,Why don't you just say it? You don't want me around.
Jay,"You know what? Right now, I don't."
Manny,"I don't want to be with you, either. I'm gonna go wait for my dad."
Jay,"But if you leave,how will I ever finish?"
Manny,You know what? I wish you never married my mom.I hate living here.
Jay,You think I like this arrangement? I got a two-seater parked in the driveway.
Claire,I don't understand.Why do you sneak around and hide things from me? I actually think it's funny.
Phil,You do?
Claire,"I do, yes.I mean, you steal a bike from some poor kid and then the bike gets stolen from you.That's hilarious."
Phil,"Classic me, right?"
Claire,"So, where were you when it got stolen?"
Phil,I was getting some gas.
Claire,You don't stand near the car when you get gas?
Phil,"I went inside to get a soda because I was thirsty, and if I had a soda I wouldn't be thirsty anymore, so I bought one, and then I drank it there, which is why I don't have the can."
Claire,"Honey, please, let's try to remember that I'm your wife, not your mom,so in the future, you don't need to hide things from me, okay?"
Phil,"You get back here, you!"
Claire,"What are you doing, Phil?"
Phil,I just love you so darn much!
Claire,"I love you, too, but that hurts."
Phil,Let's get you inside. It is a hot one.
Claire,I know. That's hurting a lot.
Phil,"Oh, good! You...At the gas station?"
Phil,Classic me?
Mitchell,"Come on, honey, grab the block. See, like he did. You got to do that. You got to grab it like him."
Mitchell,"Grab the block, sweetheart.You're not even interested in it."
Mitchell,"Q, R, S,T, U, V, W, X, Y, and Z Not so high!"
Mitchell,"I don't know if I can actually get her to do it again, so..."
Mitchell,"That's super. Thank you.Cam, let's go.I don't know what's happened to me, but I just stole a baby's intellectual property."
Mitchell,I am so sorry.
Mitchell,I know. Sorry. This class has turned me into a complete monster.I'll make it up to you. Let's just go.
Mitchell,"You want to do it, don't you?"
Mitchell,"Go on, get in there."
Jay,"Hello. Hey, Javier. Manny's waiting for you outside. What? Why not? Hold that thought."
Jay,"His son's sitting on a curb, waiting to go to Disneyland,and Superman can't drag himself away from a craps table.And I'm the jerk."
Jay,"Say, listen... I, uh...Sorry, but I got some bad news."
Manny,What?
Jay,Your dad couldn't make it.
Manny,Why not?
Jay,"The plane was full,and this old lady needed to get home,so he gave up his seat."
Manny,"You're making that up, aren't you? He just didn't want to come."
Jay,"Are you kidding me? He was very upset.He was dying to see you.In fact, look what he sent."
Manny,A limo?
Jay,He wanted me and your mom to take you to Disneyland.
Manny,I told you he was an awesome dad.
Jay,"Yeah, he's a prince."
Jay,The key to being a good dad? Sometimes things work out just the way you want.
Luke,Race you to the end.
Phil,That is not a good idea... for you.
Jay,Sometimes they don't. You got to hang in there...Because when all is said and done...90% of being a dad...Just showing up.
Phil,"I don't, uh... I was giving it back!"
Claire,"Hey, I though you were gonna take out the garbage."
Phil,I am.
Claire,Phil.
Phil,"Yes, getting it. I was... I was gonna get it."
Claire,Dylan.
Claire,Did you ring the bell?
Claire,"Oh, great. Tell her I said hi."
Phil,"Dylan! D-money! Chillin' with dylan the villain.""d"" to the ""y"" to the --"
Phil,"Hey, come on in. You're just in time to catch the end of the game."
Claire,I-I was just being facetious.
Phil,"Come on. I'll catch you up. Sit it. Park it. Come on, I don't bite. kidding. I'm kidding. Okay, see that guy? He's the tying run. Interesting story about him. He's been stuck on second base forever, And I'm pretty sure he's gonna try and steal third, which is just a terrible, terrible idea. How are you and Haley doing?"
Manny,I wish I could stay home with you and fly toy airplanes.
Jay,"These aren't toy airplanes, Manny. These are models, and they're very complicated. You want to fly one of these, you got to be familiar with airfoil, drag, lift, and thrust, And these are all principles of aerodynamics."
Manny,"The box says, ""12 and up."""
Jay,What?!
Gloria,You can fly toy planes with J ay next time. Today you have to spend time with Luke.
Manny,Why?
Gloria,"Because his mother invited you, so you go. Family needs to be close, right, Jay?"
Jay,I'm pretty sure this is a typo.
Gloria,"Men need their hobbies. Manny's father had many hobbies, like hiking in the desert, That kind of skiing that they drop you from the... How do you say in English? The..."
Jay,Helicopter.
Gloria,"Yes. Once, on a dare, he even boxed with an alligator."
Jay,Wrestle. You wrestle... you can't box with alligators.
Gloria,"Are you sure? How would they get the gloves on those lile claws? Aren't they like tiny, little hands?"
Jay,"No! Okay, now I forgot what we were talking about."
